parent,daughter
P0,AB
Zaplapaaaap,ADAL
Zaprapaaaap,ADAR
Zaplapaaaap,ADEL
Zaprapaaaap,ADER
Zaarppaaa,ADEshL
Zaarpppaa,ADEshR
Zaarppaaapa,ADEsoL
Zaarpppaapa,ADEsoR
Zaalpppppa,ADFL
Zapraaappa,ADFR
Zaalppppaa,ADLL
Zapraaapaa,ADLR
Zaalpppapa,AFDL
Zapraaaapa,AFDR
Zaplppaapp,AIAL
Zaprppaapp,AIAR
Zaplaapapp,AIBL
Zapraapapp,AIBR
Zaplpaappp,AIML
Zaprpaappp,AIMR
Zaalaaaala,AINL
Zaalaapaaa,AINR
Zaplpapaaa,AIYL
Zaprpapaaa,AIYR
Zaplapaaapa,AIZL
Zaprapaaapa,AIZR
Zaalapppaa,ALA
Zaarppaapp,ALML
Zaarpppapp,ALMR
Zaplapappppa,ALNL
Zaprapappppa,ALNR
Zaplaapaap,AMshL
Zapraapaap,AMshR
Zaplpaapap,AMsoL
Zaprpaapap,AMsoR
Zaprapapaaaa,AQR
Zppppap,AS4
Zaplapappaap,AS11
Zaalppppppa,ASEL
Zapraaapppa,ASER
Zaplaapapa,ASGL
Zapraapapa,ASGR
Zaplpaappa,ASHL
Zaprpaappa,ASHR
Zaplaapappp,ASIL
Zapraapappp,ASIR
Zaalppppppp,ASJL
Zapraaapppp,ASJR
Zaalpppappp,ASKL
Zapraaaappp,ASKR
Zaalppppppp,AUAL
Zapraaapppp,AUAR
Zaalppaaap,AVAL
Zaalaappap,AVAR
Zaplpaapaa,AVBL
Zaprpaapaa,AVBR
Zaalaaapal,AVDL
Zaalaaappr,AVDR
Zaalpppaaa,AVEL
Zapraaaaaa,AVER
Zaprapaapaaa,AVFL/R
Zaprpapppa,AVG
Zaalapaaaa,AVHL
Zaalappapa,AVHR
Zaalapappp,AVJL
Zaalappppp,AVJR
Zaplpapapa,AVKL
Zaprpapapa,AVKR
Zaprpappaa,AVL
Zaprapapaaapa,AVM
Zaplaapapa,AWAL
Zapraapapa,AWAR
Zaalpppppa,AWBL
Zapraaappa,AWBR
Zaplpaaaaa,AWCL
Zaprpaaaaa,AWCR
Zaprppppap,B
Zaalppappa,BAGL
Zaarappppa,BAGR
Zaarppaapp,BDUL
Zaarpppapp,BDUR
Zpp,C
VC2,CA2
Zaplapappaaap,CA9
Zaalapaaap,CANL
Zaalappapp,CANR
Zaplaaaaaa,CEMDL
Zaarpapaaa,CEMDR
Zaplpaapap,CEMVL
Zaprpaapap,CEMVR
Zaplaaaaapp,CEPDL
Zaarpapaapp,CEPDR
Zaplpaapppp,CEPVL
Zaprpaapppp,CEPVR
Zaarpaaaap,CEPshDL
Zaarpaaapa,CEPshDR
Zaplpaaapa,CEPshVL
Zaprpaaapa,CEPshVR
Zaalapappp,CEPsoDL
Zaalappppp,CEPsoDR
Zaalppaapp,CEPsoVL
Zaalaapapp,CEPsoVR
VC2,CP2
Zaplapappaaap,CP9
Zppp,D
Zaprppapaa,DA1
Zaplppapap,DA2
Zaprppapap,DA3
Zaplppapap,DA4
Zaprppapap,DA5
Zaplpppaaa,DA6
Zaprpppaaa,DA7
Zaprpapapp,DA8
Zaplpppaaa,DA9
Zaplpaaaap,DB1/3
Zaarappapp,DB2
Zaprpaaaap,DB3/1
Zaprpappap,DB4
Zaplpapapp,DB5
