Cell,Lineage Name
AB,Za
ADAL,Zaplapaaaapp
ADAR,Zaprapaaaapp
ADEL,Zaplapaaaapa
ADER,Zaprapaaaapa
ADEshL,Zaarppaaaa
ADEshR,Zaarpppaaa
ADEsoL,Zaarppaaapaa
ADEsoR,Zaarpppaapaa
ADFL,Zaalpppppaa
ADFR,Zapraaappaa
ADLL,Zaalppppaad
ADLR,Zapraaapaad
AFDL,Zaalpppapav
AFDR,Zapraaaapav
AIAL,Zaplppaappa
AIAR,Zaprppaappa
AIBL,Zaplaapappa
AIBR,Zapraapappa
AIML,Zaplpaapppa
AIMR,Zaprpaapppa
AINL,Zaalaaaalal
AINR,Zaalaapaaar
AIYL,Zaplpapaaap
AIYR,Zaprpapaaap
AIZL,Zaplapaaapav
AIZR,Zaprapaaapav
ALA,Zaalapppaaa
ALML,Zaarppaappa
ALMR,Zaarpppappa
ALNL,Zaplapappppap
ALNR,Zaprapappppap
AMshL,Zaplaapaapp
AMshR,Zapraapaapp
AMsoL,Zaplpaapapa
AMsoR,Zaprpaapapa
AQR,Zaprapapaaaap
AS1,Zpapa
AS2,Zppapa
AS3,Zpppapa
AS4,Zppppapa
AS11,Zaplapappaapa
ASEL,Zaalppppppaa
ASER,Zapraaapppaa
ASGL,Zaplaapapap
ASGR,Zapraapapap
ASHL,Zaplpaappaa
ASHR,Zaprpaappaa
ASIL,Zaplaapapppa
ASIR,Zapraapapppa
ASJL,Zaalpppppppa
ASJR,Zapraaappppa
ASKL,Zaalpppapppa
ASKR,Zapraaaapppa
AUAL,Zaalpppppppp
AUAR,Zapraaappppp
AVAL,Zaalppaaapa
AVAR,Zaalaappapa
AVBL,Zaplpaapaap
AVBR,Zaprpaapaap
AVDL,Zaalaaapalr
AVDR,Zaalaaapprl
AVEL,Zaalpppaaaa
AVER,Zapraaaaaaa
AVFL/R,Zpaaaa
AVFL/R_2,Zaprapaapaaaa
AVG,Zaprpapppap
AVHL,Zaalapaaaaa
AVHR,Zaalappapaa
AVJL,Zaalapapppa
AVJR,Zaalapppppa
AVKL,Zaplpapapap
AVKR,Zaprpapapap
AVL,Zaprpappaap
AVM,Zaprapapaaapaa
AWAL,Zaplaapapaa
AWAR,Zapraapapaa
AWBL,Zaalpppppap
AWBR,Zapraaappap
AWCL,Zaplpaaaaap
AWCR,Zaprpaaaaap
B,Zaprppppapa
BAGL,Zaalppappap
BAGR,Zaarappppap
BDUL,Zaarppaappp
BDUR,Zaarpppappp
C,Zppa
CA1,Zpppaapa
CA2,Zppppaapa
CA9,Zaplapappaaapa
CANL,Zaalapaaapa
CANR,Zaalappappa
CEMDL,Zaplaaaaaap
CEMDR,Zaarpapaaap
CEMVL,Zaplpaapapp
CEMVR,Zaprpaapapp
CEPDL,Zaplaaaaappa
CEPDR,Zaarpapaappa
CEPVL,Zaplpaappppa
CEPVR,Zaprpaappppa
CEPshDL,Zaarpaaaapp
CEPshDR,Zaarpaaapap
CEPshVL,Zaplpaaapap
CEPshVR,Zaprpaaapap
CEPsoDL,Zaalapapppp
CEPsoDR,Zaalapppppp
CEPsoVL,Zaalppaappp
CEPsoVR,Zaalaapappp
CPO,Zppaap
CP1,Zpppaapp
CP2,Zppppaapp
CP9,Zaplapappaaapp
D,Zpppa
DA1,Zaprppapaap
DA2,Zaplppapapa
DA3,Zaprppapapa
DA4,Zaplppapapp
DA5,Zaprppapapp
DA6,Zaplpppaaap
DA7,Zaprpppaaap
DA8,Zaprpapappp
DA9,Zaplpppaaaa
DB1/3,Zaplpaaaapp
DB2,Zaarappappa
DB3/1,Zaprpaaaapp
DB4,Zaprpappapp
DB5,Zaplpapappp
DB6,Zaplppaappp
DB7,Zaprppaappp
DD1,Zaplppappap
DD2,Zaprppappap
DD3,Zaplppapppa
DD4,Zaprppapppa
DD5,Zaplppapppp
DD6,Zaprppapppp
DVA,Zaprppppapp
DVB,Zaplpapppaap
DVC,Zppaaapaa
DVE,Zaprppppapappap
DVF,Zaprppppapappppa
DX1/2,Zaplppppapplvda
DX1/2_2,Zaplppppapprvda
DX3/4,Zaplppppapalaa
DX3/4_2,Zaplppppaparaa
E,Zpap
EF1/2,Zaplppppapplvda
EF1/2_2,Zaplppppapprvda
EF3/4,Zaplppppapalap
EF3/4_2,Zaplppppaparap
F,Zaplppppapp
FLPL,Zaplapaaapad
FLPR,Zaprapaaapad
GLRDL,Zpaaaaaaaal
GLRDR,Zpaaaaaaaar
GLRL,Zpaaapaaaad
GLRR,Zpaappaaaad
GLRVL,Zpaaapaaaav
GLRVR,Zpaappaaaav
G1,Zaprpaaaapa
G2,Zaplapaapa
HOL,Zaplaaappa
HOR,Zaarpapppa
H1L,Zaplaaappp
H1R,Zaarpapppp
H2L,Zaarppaaap
H2R,Zaarpppaap
HSNL,Zaplapppappa
HSNR,Zaprapppappa
I1L,Zaalpapppaa
I1R,Zaarapappaa
I2L,Zaalpappaapa
I2R,Zaarapapaapa
I3,Zpaaaaaaapaa
I4,Zpaaaaaapaa
I5,Zaarapapapp
I6,Zpaapaaapaa
IL1DL,Zaalapappaaa
IL1DR,Zaalappppaaa
IL1L,Zaalapaappaa
IL1R,Zaalaappppaa
IL1VL,Zaalppapppaa
IL1VR,Zaarapppppaa
IL2DL,Zaalapappap
IL2DR,Zaalappppap
IL2L,Zaalapaappp
IL2R,Zaalaappppp
IL2VL,Zaalppapppp
IL2VR,Zaarapppppp
ILshDL,Zaalaaaparr
ILshDR,Zaalaaappll
ILshL,Zaalaaaalpp
ILshR,Zaalaapaapp
ILshVL,Zaalppapaap
ILshVR,Zaarapppaap
ILsoDL,Zaplaapaaap
ILsoDR,Zapraapaaap
ILsoL,Zaalaaapall
ILsoR,Zaalaaapprr
ILsoVL,Zaalppapapp
ILsoVR,Zaarapppapp
K,Zaplpapppaa
K',Zaplpapppap
K.a,Zaplpapppaaa
LUAL,Zaplpppaapap
LUAR,Zaprpppaapap
M,Zpaaapaapp
M1,Zpaapaapaaa
M2L,Zaaraapappa
M2R,Zaaraappppa
M3L,Zaaraapappp
M3R,Zaaraappppp
M4,Zpaapaaaaaa
M5,Zpaapaaapap
MCL,Zaalpaaappp
MCR,Zaarapaappp
MI,Zaaraappaaa
MS,Zpaa
NSML,Zaaraapapaav
NSMR,Zaaraapppaav
OLLL,Zaalppppapaa
OLLR,Zapraaapapaa
OLLshL,Zaalpppaapd
OLLshR,Zapraaaaapd
OLLsoL,Zaalapaaapp
OLLsoR,Zaalappappp
OLQDL,Zaalapapapaa
OLQDR,Zaalapppapaa
OLQVL,Zaplpaaappaa
OLQVR,Zaprpaaappaa
OLQshDL,Zaarpaaaapa
OLQshSR,Zaarpaaapaa
OLQshVL,Zaalpppaaap
OLQshVR,Zapraaaaaap
