name,time
Zp,20.0
Za,20.0
Z,1.0
Zaa,42.0
Zap,42.0
Zpa,45.0
Zpp,47.0
Zaal,55.0
Zaar,55.0
Zapl,55.0
Zapr,55.0
Zpaa,61.0
Zpap,62.0
Zppa,66.0
Zaarp,73.0
Zapla,73.0
Zppp,73.0
Zaala,74.0
Zaalp,74.0
Zaara,74.0
Zaplp,74.0
Zapra,74.0
Zaprp,74.0
Zpaaa,84.0
Zpaap,84.0
Zppaa,93.0
Zppap,93.0
Zaplaa,100.0
Zaalpa,101.0
Zaaraa,101.0
Zaarap,101.0
Zaplap,101.0
Zapraa,101.0
Zaprap,101.0
Zaalaa,102.0
Zaalap,102.0
Zaalpp,102.0
Zaplpa,102.0
Zaprpa,102.0
Zaarpa,103.0
Zaplpp,103.0
Zaprpp,103.0
Zaarpp,104.0
Zpapa,106.0
Zpapp,109.0
Zpaaaa,112.0
Zpaapa,112.0
Zpppa,113.0
Zpaaap,114.0
Zpaapp,115.0
Zppapa,126.0
Zppaaa,127.0
Zppapp,130.0
Zaarpaa,131.0
Zaplaap,131.0
Zaplapa,131.0
Zapraap,131.0
Zaalpap,132.0
Zaplaaa,132.0
Zaplapp,132.0
Zaplpap,132.0
Zaprapa,132.0
Zaprapp,132.0
Zppaap,132.0
Zaalpaa,133.0
Zaalppp,133.0
Zaaraap,133.0
Zaarapa,133.0
Zaarapp,133.0
Zaarpap,133.0
Zapraaa,133.0
Zaprpap,133.0
Zaalapa,134.0
Zaalapp,134.0
Zaalppa,134.0
Zaaraaa,134.0
Zaarppa,134.0
Zaplpaa,134.0
Zaplppp,134.0
Zaprpaa,134.0
Zaprppp,134.0
Zaarppp,135.0
Zaplppa,135.0
Zaalaaa,136.0
Zaalaap,136.0
Zaprppa,136.0
Zpppp,142.0
Zpaaaaa,144.0
Zpaaaap,144.0
Zpaapaa,145.0
Zpaapap,145.0
Zpaaapa,148.0
Zpaaapp,149.0
Zpaappa,149.0
Zpaappp,149.0
Zpapal,154.0
Zpapar,155.0
Zpappl,159.0
Zpappr,160.0
Zpppap,160.0
Zpppaa,161.0
Zppapaa,165.0
Zaplaapp,166.0
Zaalpapp,167.0
Zaplapap,167.0
Zaplpapp,167.0
Zppaaaa,167.0
Zppapap,167.0
Zaalpppp,168.0
Zaarapap,168.0
Zaarpaap,168.0
Zapraapp,168.0
Zaalpaap,169.0
Zaprapap,169.0
Zaalapap,170.0
Zaaraapp,170.0
Zaarappp,170.0
