Cell,Lineage Names
AB,P0 a
ADAL,AB plapaaaapp
ADAR,AB prapaaaapp
ADEL,AB plapaaaapa
ADER,AB prapaaaapa
ADEshL,AB arppaaaa
ADEshR,AB arpppaaa
ADEsoL,H2L aa
ADEsoR,H2R aa
ADFL,"AB alpppppaa,AB alpppppaa"
ADFR,AB praaappaa
ADLL,AB alppppaad
ADLR,AB praaapaad
AFDL,AB alpppapav
AFDR,AB praaaapav
AIAL,AB plppaappa
AIAR,AB prppaappa
AIBL,AB plaapappa
AIBR,AB praapappa
AIML,AB plpaapppa
AIMR,AB prpaapppa
AINL,AB alaaaalal
AINR,AB alaapaaar
AIYL,AB plpapaaap
AIYR,AB prpapaaap
AIZL,AB plapaaapav
AIZR,AB prapaaapav
ALA,AB alapppaaa
ALML,AB arppaappa
ALMR,AB arpppappa
ALNL,AB plapappppap
ALNR,AB prapappppap
AMshL,AB plaapaapp
AMshR,AB praapaapp
AMsoL,AB plpaapapa
AMsoR,AB prpaapapa
AQR,QR ap
AS1,P1 apa
AS2,P2 apa
AS3,P3 apa
AS4,P4 apa
AS5,P5 apa
AS6,P6 apa
AS7,P7 apa
AS8,P8 apa
AS9,P9 apa
AS10,P10 apa
AS11,P11 apa
ASEL,AB alppppppaa
ASER,AB praaapppaa
ASGL,AB plaapapap
ASGR,AB praapapap
ASHL,AB plpaappaa
ASHR,AB prpaappaa
ASIL,AB plaapapppa
ASIR,AB praapapppa
ASJL,AB alpppppppa
ASJR,AB praaappppa
ASKL,AB alpppapppa
ASKR,AB praaaapppa
AUAL,AB alpppppppp
AUAR,AB praaappppp
AVAL,AB alppaaapa
AVAR,AB alaappapa
AVBL,AB plpaapaap
AVBR,AB prpaapaap
AVDL,AB alaaapalr
AVDR,AB alaaapprl
AVEL,AB alpppaaaa
AVER,AB praaaaaaa
AVFL/R,"P1 aaaa,W aaa"
AVG,AB prpapppap
AVHL,AB alapaaaaa
AVHR,AB alappapaa
AVJL,AB alapapppa
AVJR,AB alapppppa
AVKL,AB plpapapap
AVKR,AB prpapapap
AVL,AB prpappaap
AVM,QR paa
AWAL,AB plaapapaa
AWAR,AB praapapaa
AWBL,AB alpppppap
AWBR,AB praaappap
AWCL,AB plpaaaaap
AWCR,AB prpaaaaap
B,AB prppppapa
BAGL,AB alppappap
BAGR,AB arappppap
BDUL,AB arppaappp
BDUR,AB arpppappp
C,P0 ppa
CA1,P3 aapa
CA2,P4 aapa
CA3,P5 aapa
CA4,P6 aapa
CA5,P7 aapa
CA6,P8 aapa
CA7,P9 aapa
CA8,P10 aapa
CA9,P11 aapa
CANL,AB alapaaapa
CANR,AB alappappa
CEMDL,AB plaaaaaap
CEMDR,AB arpapaaap
CEMVL,AB plpaapapp
CEMVR,AB prpaapapp
CEPDL,AB plaaaaappa
CEPDR,AB arpapaappa
CEPVL,AB plpaappppa
CEPVR,AB prpaappppa
CEPshDL,AB arpaaaapp
CEPshDR,AB arpaaapap
CEPshVL,AB plpaaapap
CEPshVR,AB prpaaapap
CEPsoDL,AB alapapppp
CEPsoDR,AB alapppppp
CEPsoVL,AB alppaappp
CEPsoVR,AB alaapappp
CPO,P2 aap
CP1,P3 aapp
CP2,P4 aapp
CP3,P5 aapp
CP4,P6 aapp
CP5,P7 aapp
CP6,P8 aapp
CP7,P9 aapp
CP8,P10 aapp
CP9,P11 aapp
D,P0 pppa
DA1,AB prppapaap
DA2,AB plppapapa
DA3,AB prppapapa
DA4,AB plppapapp
DA5,AB prppapapp
DA6,AB plpppaaap
DA7,AB prpppaaap
DA8,AB prpapappp
DA9,AB plpppaaaa
DB1/3,AB plpaaaapp
DB2,AB arappappa
DB3/1,AB prpaaaapp
DB4,AB prpappapp
DB5,AB plpapappp
DB6,AB plppaappp
DB7,AB prppaappp
DD1,AB plppappap
DD2,AB prppappap
DD3,AB plppapppa
DD4,AB prppapppa
DD5,AB plppapppp
DD6,AB prppapppp
DVA,AB prppppapp
DVB,K p
DVC,C aapaa
DVE,B ppap
DVF,B ppppa
DX1/2,"F lvda,F rvda"
DX3/4,"U laa,U raa"
E,P0 pap
EF1/2,"F lvda,F rvda"
EF3/4,"U lap,U rap"
F,AB plppppapp
FLPL,AB plapaaapad
FLPR,AB prapaaapad
GLRDL,MS aaaaaal
GLRDR,MS aaaaaar
GLRL,MS apaaaad
GLRR,MS ppaaaad
GLRVL,MS apaaaav
GLRVR,MS ppaaaav
G1,AB prpaaaapa
G2,AB plapaapa
HOL,AB plaaappa
HOR,AB arpapppa
H1L,AB plaaappp
H1R,AB arpapppp
H2L,AB arppaaap
H2R,AB arpppaap
HOA,P10 pppa
HOB,P10 ppap
HOsh,P10 ppppp
HOso,P10 ppaa
HSNL,AB plapppappa
HSNR,AB prapppappa
I1L,AB alpapppaa
I1R,AB arapappaa
I2L,AB alpappaapa
I2R,AB arapapaapa
I3,MS aaaaapaa
I4,MS aaaapaa
I5,AB arapapapp
I6,MS paaapaa
IL1DL,AB alapappaaa
IL1DR,AB alappppaaa
IL1L,AB alapaappaa
IL1R,AB alaappppaa
IL1VL,AB alppapppaa
IL1VR,AB arapppppaa
IL2DL,AB alapappap
IL2DR,AB alappppap
IL2L,AB alapaappp
IL2R,AB alaappppp
IL2VL,AB alppapppp
IL2VR,AB arapppppp
ILshDL,AB alaaaparr
ILshDR,AB alaaappll
ILshL,AB alaaaalpp
ILshR,AB alaapaapp
ILshVL,AB alppapaap
ILshVR,AB arapppaap
ILsoDL,AB plaapaaap
ILsoDR,AB praapaaap
ILsoL,AB alaaapall
ILsoR,AB alaaapprr
ILsoVL,AB alppapapp
ILsoVR,AB arapppapp
K,AB plpapppaa
K',AB plpapppap
K.a,K a
LUAL,AB plpppaapap
LUAR,AB prpppaapap
M,MS apaapp
M1,MS paapaaa
M2L,AB araapappa
M2R,AB araappppa
M3L,AB araapappp
M3R,AB araappppp
M4,MS paaaaaa
M5,MS paaapap
MCL,AB alpaaappp
MCR,AB arapaappp
MI,AB araappaaa
MCML,AmsoL
MCMR,AmsoR
MS,P0 paa
NSML,AB araapapaav
NSMR,AB araapppaav
OLLL,AB alppppapaa
OLLR,AB praaapapaa
OLLshL,AB alpppaapd
OLLshR,AB praaaaapd
OLLsoL,AB alapaaapp
OLLsoR,AB alappappp
OLQDL,AB alapapapaa
OLQDR,AB alapppapaa
OLQVL,AB plpaaappaa
OLQVR,AB prpaaappaa
OLQshDL,AB arpaaaapa
OLQshSR,AB arpaaapaa
OLQshVL,AB alpppaaap
OLQshVR,AB praaaaaap
OLQsoDL,AB arpaaaaal
OLQsoDR,AB arpaaaaar
OLQsoVL,AB alppaaapp
OLQsoVR,AB alaappapp
P0,Z
P4,P0 pppp
P1/2L,AB plapaapp
P1/2R,AB prapaapp
P3/4L,AB plappaaa
P3/4R,AB prappaaa
P5/6L,AB plappaap
P5/6R,AB prappaap
P7/8L,AB plappapp
P7/8R,AB prappapp
P9/10L,AB plapapap
P9/10R,AB prapapap
P11,AB plapappa
P12,AB prapappa
PCAL,Y plppd
PCAR,Y prppd
PCBL,Y plpa
PCBR,Y prpa
PCCL,B arpaaa
PCCR,B alpaaa
PChL,Y plaa
PChR,Y praa
PCshL,Y plppv
PCshR,Y prppv
PCsoL,Y plap
PCsoR,Y prap
PDA,AB prpppaaaa
PDB,P12 apa
PDC,P11 papa
PDEL,V5L paaa
PDER,V5R paaa
PDEshL,V5L papp
PDEshR,V5R papp
PdEsoL,V5L papa
PdEsoR,V5R papa
PGA,P11 papp
PHAL,AB plpppaapp
PHAR,AB prpppaapp
PHBL,AB plapppappp
PHRB,AB prapppappp
PHCL,TL pppaa
PHCR,TR pppaa
PHshL,AB plpppapaa
PHshR,AB prpppapaa
PHso1L,TL paa
PHso1R,TR paa
PHso2L,TL pap
PHso2R,TR pap
PLML,AB plapappppaa
PLMR,AB prapappppaa
PLNL,TL pppap
PLNR,TR pppap
PQR,QL ap
PVCL,AB plpppaapaa
PVCR,AB prpppaapaa
PVDL,V5L paapa
PVDR,V5R paapa
PVM,QL paa
PVNL,TL appp
PVNR,TR appp
PVPL,AB plppppaaa
PVPR,AB prppppaaa
PVQL,AB plapppaaa
PVQR,AB prapppaaa
PVR,C aappv
PVT,AB plpappppa
PVV,P11 paaa
PVWL,TL ppa
PVWR,TR ppa
PVX,P12 aap
PVY,P11 paap
PVZ,P10 ppppa
QL,AB plapapaaa
QR,AB prapapaaa
R1AL,"V5L pppppaaa,R1 aaa"
R1AR,"V5R pppppaaa,R1 aaa"
R1BL,"V5L pppppapa,R1 apa"
R1BR,"V5R pppppapa,R1 apa"
R1stL,"V5L pppppapp,R1 app"
R1stR,"V5R pppppapp,R1 app"
R2AL,"V6L papapaaa,R2 aaa"
R2AR,"V6R papapaaa,R2 aaa"
R2BL,"V6L papapapa,R2 apa"
R2BR,"V6R papapapa,R2 apa"
R2stL,"V6L papapapp,R2 app"
R2stR,"V6R papapapp,R2 app"
R3AL,"V6L papppaaa,R3 aaa"
R3AR,"V6R papppaaa,R3 aaa"
R3BL,"V6L papppapa,R3 apa"
R3BR,"V6R papppapa,R3 apa"
R3stL,"V6L papppapp,R3 app"
R3stR,"V6R papppapp,R3 app"
R4AL,"V6L pppapaaa,R4 aaa"
R4AR,"V6R pppapaaa,R4 aaa"
R4BL,"V6L pppapapa,R4 apa"
R4BR,"V6R pppapapa,R4 apa"
R4stL,"V6L pppapapp,R4 app"
R4stR,"V6R pppapapp,R4 app"
R5AL,"V6L pppppaaa,R5 aaa"
R5AR,"V6R pppppaaa,R5 aaa"
R5BL,"V6L pppppapa,R5 apa"
R5BR,"V6R pppppapa,R5 apa"
R5stL,"V6L pppppapp,R5 app"
R5stR,"V6R pppppapp,R5 app"
R6AL,"V6L ppppaaaa,R6 aaa"
R6AR,"V6R ppppaaaa,R6 aaa"
R6BL,"V6L ppppaapa,R6 apa"
R6BR,"V6R ppppaapa,R6 apa"
R6stL,"V6L ppppaapp,R6 app"
R6stR,"V6R ppppaapp,R6 app"
R7AL,"TL apappaaa,R7 aaa"
R7AR,"TR apappaaa,R7 aaa"
R7BL,"TL apappapa,R7 apa"
R7BR,"TR apappapa,R7 apa"
R7stL,"TL apappapp,R7 app"
R7stR,"TR apappapp,R7 app"
R8AL,"TL appaaaaa,R8 aaa"
R8AR,"TR appaaaaa,R8 aaa"
R8BL,"TL appaaapa,R8 apa"
R8BR,"TR appaaapa,R8 apa"
R8stL,"TL appaaapp,R8 app"
R8stR,"TR appaaapp,R8 app"
R9AL,"TL appapaaa,R9 aaa"
R9AR,"TR appapaaa,R9 aaa"
R9BL,"TL appapapa,R9 apa"
R9BR,"TR appapapa,R9 apa"
R9stL,"TL appapapp,R9 app"
R9stR,"TR appapapp,R9 app"
RIAL,AB alapaapaa
RIAR,AB alaapppaa
RIBL,AB plpaappap
RIBR,AB prpaappap
RICL,AB plppaaaapp
RICR,AB prppaaaapp
RID,AB alappaapa
RIFL,AB plppapaaap
RIFR,AB prppapaaap
RIGL,AB plppappaa
RIGR,AB prppappaa
RIH,AB prpappaaa
RIML,AB plppaapap
RIMR,AB prppaapap
RIPL,AB alpapaaaa
RIPR,AB arappaaaa
RIR,AB prpapppaa
RIS,AB prpappapa
RIVL,AB plpaapaaa
RIVR,AB prpaapaaa
RMDDL,AB alpapapaa
RMDDR,AB arappapaa
RMDL,AB alpppapad
RMDR,AB praaaapad
RMDVL,AB alppapaaa
RMDVR,AB arapppaaa
RMED,AB alapppaap
RMEL,AB alaaaarlp
RMER,AB alaaaarrp
RMEV,AB plpappaaa
RMFL,G2 al
RMFR,G2 ar
RMGL,AB plapaaapp
RMGR,AB prapaaapp
RMHL,G1 l
RMHR,G1 r
SAADL,AB alppapapa
SAADR,AB arapppapa
SAAVL,AB plpaaaaaa
SAAVR,AB prpaaaaaa
SABD,AB plppapaap
SABVL,AB plppapaaaa
SABVR,AB prppapaaaa
SDQL,QL pap
SDQR,QR pap
SIADL,AB plpapaapa
SIADR,AB prpapaapa
SIAVL,AB plpapappa
SIAVR,AB prpapappa
SIBDL,AB plppaaaaa
SIBDR,AB prppaaaaa
SIBVL,AB plpapaapp
SIBVR,AB prpapaapp
SMBDL,AB alpapapapp
SMBDR,AB arappapapp
SMBVL,AB alpapappp
SMBVR,AB arappappp
SMDDL,AB plpapaaaa
SMDDR,AB prpapaaaa
SMDVL,AB alppappaa
SMDVR,AB arappppaa
SPCL,B alpaap
SPCR,B arpaap
SPDL,B alpapaa
SPDR,B arpapaa
SPVL,"B alaalda,B araalda"
SPVR,"B araarda,B araarda"
SPshDL,B alpapap
SPshDR,B arpapap
SPshVL,"B alaaldp,B araaldp"
SpshVR,"B alaarda,B araarda"
SPso1L,"B alpppl,B arpppl"
SPso1R,"B alpppr,B arpppr"
SPso2L,"B alaald,B araald"
SPso2R,"B alaard,B araard"
SPso3L,"B alaalv,B araalv"
SPso3R,"B alaarv,B araarv"
SPso4L,B alpapp
SPso4r,B arpapp
TL,AB plappppp
TR,AB prappppp
U,AB plppppapa
URADL,AB plaaaaaaa
URADR,AB arpapaaaa
URAVL,AB plpaaapaa
URAVR,AB prpaaapaa
URBL,AB plaapaapa
URBR,AB praapaapa
URXL,AB plaaaaappp
URXR,AB arpapaappp
URYDL,AB alapapapp
URYDR,AB alapppapp
URYVL,AB plpaaappp
URYVR,AB prpaaappp
V1L,AB arppapaa
V1R,AB arppppaa
V2L,AB arppapap
V2R,AB arppppap
V3L,AB plappapa
V3R,AB prappapa
V4L,AB arppappa
V4R,AB arpppppa
V5L,AB plapapaap
V5R,AB prapapaap
V6L,AB arppappp
V6R,AB arpppppp
VA1,W pa
VA2,P2 aaaa
VA3,P3 aaaa
VA4,P4 aaaa
VA5,P5 aaaa
VA6,P6 aaaa
VA7,P7 aaaa
VA8,P8 aaaa
VA9,P9 aaaa
VA10,P10 aaaa
VA11,P11 aaaa
VA12,P12 aaaa
VB1,P1 aaap
VB2,W aap
VB3,P2 aaap
VB4,P3 aaap
VB5,P4 aaap
VB6,P5 aaap
VB7,P6 aaap
